,s1,s2,t1,t2,f1,f2,μ,q,ρ,θ,e11,e12,e21,e22,n,a1,a2,disaster_risk,multistart,status,success,u1,u2
0,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,0.2,5000.0,-500.0,0.0,0.5,0.5,0.0,2.0,0.0007407856349025768,0.0007407856349025798,0.763441519371229,0,Solve_Succeeded,True,0.1774188604715783,0.17741886047157832
1,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,0.4,5000.0,-500.0,0.0,0.5,0.5,0.0,2.0,0.0007551579056561821,0.0007551579056562685,0.9436083071172088,0,Solve_Succeeded,True,0.042293769662093104,0.04229376966209375
2,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,0.6,5000.0,-500.0,0.0,0.5,0.5,0.0,2.0,0.0007698137657843477,0.0007698137657843477,0.9864533647435697,0,Solve_Succeeded,True,0.010159976442322752,0.010159976442322752
3,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,0.8,5000.0,-500.0,0.0,0.5,0.5,0.0,2.0,0.0007847591216265461,0.0007847591216265461,0.9967206396440027,0,Solve_Succeeded,True,0.0024595202669979565,0.0024595202669979565
4,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,1.0,5000.0,-500.0,0.0,0.5,0.5,0.0,2.0,0.0007999997693787197,0.0007999997693787197,0.9992000001306213,0,Solve_Succeeded,True,0.0005999999020340398,0.0005999999020340398
5,0.0,0.0,0.0,0.0,0.9090909090909094,1.8181818181818183,10.0,0.2,5000.0,-500.0,0.0,0.5,0.5,0.0,2.0,0.030004803416230644,0.931626166187813,0.014192512536199341,1,Solve_Succeeded,True,0.49296833544672114,0.9857428957489798
6,0.0,0.0,0.0,0.0,0.9090909090909094,1.8181818181818183,10.0,0.4,5000.0,-500.0,0.0,0.5,0.5,0.0,2.0,0.17719101538127993,0.9999999999000001,2.1382246874040386e-88,0,Solve_Succeeded,True,0.5,1.0
7,0.0,0.0,0.0,0.0,0.9090909090909094,1.8181818181818183,10.0,0.6,5000.0,-500.0,0.0,0.5,0.5,0.0,2.0,0.3152508275990186,0.9999999999000001,0.0,1,Solve_Succeeded,True,0.5,1.0
8,0.0,0.0,0.0,0.0,0.9090909090909094,1.8181818181818183,10.0,0.8,5000.0,-500.0,0.0,0.5,0.5,0.0,2.0,0.4206648169835611,0.9999999999000001,0.0,0,Solve_Succeeded,True,0.5,1.0
9,0.0,0.0,0.0,0.0,0.9090909090909094,1.8181818181818183,10.0,1.0,5000.0,-500.0,0.0,0.5,0.5,0.0,2.0,0.5001999999000633,0.9999999999,0.0,0,Solve_Succeeded,True,0.5,1.0
10,0.0,0.0,0.0,0.0,0.9090909090909094,2.727272727272727,10.0,0.2,5000.0,-500.0,0.0,0.5,0.5,0.0,2.0,0.03214025427614827,0.9999999999,3.929263680381887e-308,0,Solve_Succeeded,True,0.5,1.0
