,s1,s2,t1,t2,f1,f2,μ,q,ρ,θ,e11,e12,e21,e22,n,a1,a2,disaster_risk,multistart,status,success,u1,u2
0,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,0.2,5000.0,-500.0,0.0,0.2,0.2,0.0,2.0,0.001850154571403155,0.001850154571402187,0.7159193798803285,0,Solve_Succeeded,True,0.25567255810769013,0.2556725581077187
1,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,0.2,5000.0,-500.0,0.0,0.4,0.4,0.0,2.0,0.0009258311555917413,0.000925831155591743,0.7526531592707768,1,Solve_Succeeded,True,0.19787747258337862,0.19787747258337862
2,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,0.2,5000.0,-500.0,0.0,0.6,0.6,0.0,2.0,0.000617388434159873,0.0006173884341598656,0.7719071288703101,0,Solve_Succeeded,True,0.15966500979078307,0.1596650097907829
3,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,0.2,5000.0,-500.0,0.0,0.8,0.8,0.0,2.0,0.00046310420946134805,0.00046310420946134805,0.7846545180571409,0,Solve_Succeeded,True,0.12920728916571542,0.12920728916571542
4,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,0.2,5000.0,-500.0,0.0,1.0,1.0,0.0,2.0,0.0003705135495567733,0.0003705135495568292,0.7940504523685736,1,Solve_Succeeded,True,0.10297477381574022,0.10297477381568618
5,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,0.4,5000.0,-500.0,0.0,0.2,0.2,0.0,2.0,0.0018864837504887807,0.0018864837504869421,0.9186680403188575,0,Solve_Succeeded,True,0.07319876371301404,0.07319876371304247
6,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,0.4,5000.0,-500.0,0.0,0.4,0.4,0.0,2.0,0.0009438297629056827,0.0009438297629056674,0.9383465355328309,0,Solve_Succeeded,True,0.04932277157373534,0.049322771573735255
7,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,0.4,5000.0,-500.0,0.0,0.6,0.6,0.0,2.0,0.0006293505338102438,0.0006293505338102438,0.9475727510168733,0,Solve_Succeeded,True,0.03669907428818867,0.03669907428818867
8,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,0.4,5000.0,-500.0,0.0,0.8,0.8,0.0,2.0,0.00047206190752045485,0.00047206190752045485,0.9532695869697868,0,Solve_Succeeded,True,0.028038247818127922,0.028038247818127922
9,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,0.4,5000.0,-500.0,0.0,1.0,1.0,0.0,2.0,0.00037767304405641404,0.00037767304405647546,0.9572588265477444,0,Solve_Succeeded,True,0.02137058672612709,0.02137058672612848
10,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,0.6,5000.0,-500.0,0.0,0.2,0.2,0.0,2.0,0.0019235564592821734,0.0019235564592840733,0.9765327080467834,0,Solve_Succeeded,True,0.0211205627579015,0.021120562757888563
11,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,0.6,5000.0,-500.0,0.0,0.4,0.4,0.0,2.0,0.0009621857479633809,0.0009621857479634078,0.9845134250416273,0,Solve_Succeeded,True,0.012389259966698124,0.012389259966698176
12,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,0.6,5000.0,-500.0,0.0,0.6,0.6,0.0,2.0,0.0006415477155243569,0.0006415477155249741,0.9878566805968276,0,Solve_Succeeded,True,0.008500323582222689,0.008500323582218725
13,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,0.6,5000.0,-500.0,0.0,0.8,0.8,0.0,2.0,0.0004811947322672169,0.0004811947322672518,0.9897813723894944,0,Solve_Succeeded,True,0.0061311765663032754,0.006131176566303452
14,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,0.6,5000.0,-500.0,0.0,1.0,1.0,0.0,2.0,0.0003849720721795581,0.0003849720721795581,0.9910616449338854,0,Solve_Succeeded,True,0.004469177533057338,0.004469177533057338
15,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,0.8,5000.0,-500.0,0.0,0.2,0.2,0.0,2.0,0.001961389443278407,0.001961389443278407,0.9931758104008968,0,Solve_Succeeded,True,0.0061417706391928804,0.0061417706391928804
16,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,0.8,5000.0,-500.0,0.0,0.4,0.4,0.0,2.0,0.0009809065793984796,0.0009809065793984584,0.9960798547988906,0,Solve_Succeeded,True,0.0031361161608875064,0.003136116160887493
17,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,0.8,5000.0,-500.0,0.0,0.6,0.6,0.0,2.0,0.0006539847633456961,0.0006539847633456961,0.9971656455676929,0,Solve_Succeeded,True,0.001984048102614924,0.001984048102614924
18,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,0.8,5000.0,-500.0,0.0,0.8,0.8,0.0,2.0,0.0004905061995062735,0.0004905061995062735,0.997748273331406,0,Solve_Succeeded,True,0.0013510360011564052,0.0013510360011564052
19,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,0.8,5000.0,-500.0,0.0,1.0,1.0,0.0,2.0,0.00039241341207308934,0.0003924134120730716,0.9981163718918602,0,Solve_Succeeded,True,0.0009418140540699293,0.0009418140540698953
