,s1,s2,t1,t2,f1,f2,μ,q,ρ,θ,e11,e12,e21,e22,n,a1,a2,disaster_risk,multistart,status,success,u1,u2
0,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,1.0,5000.0,-500.0,0.0,0.2,0.2,0.0,2.0,0.001999999899540999,0.001999999899540992,0.998000000000459,0,Solve_Succeeded,True,0.0017999999995868964,0.001799999999586896
1,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,1.0,5000.0,-500.0,0.0,0.4,0.4,0.0,2.0,0.000999999899769773,0.000999999899769773,0.9990000000002303,0,Solve_Succeeded,True,0.0007999999998158183,0.0007999999998158183
2,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,1.0,5000.0,-500.0,0.0,0.6,0.6,0.0,2.0,0.0006666665665293365,0.0006666665665293367,0.9993333333334706,0,Solve_Succeeded,True,0.0004666666665705356,0.00046666666657053566
3,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,1.0,5000.0,-500.0,0.0,0.8,0.8,0.0,2.0,0.0004999998960618302,0.00049999989606183,0.9995000000039381,0,Solve_Succeeded,True,0.0002999999976370981,0.000299999997637098
4,0.0,0.0,0.0,0.0,0.9090909090909094,0.9090909090909094,10.0,1.0,5000.0,-500.0,0.0,1.0,1.0,0.0,2.0,0.0003999998999193369,0.0003999998999193371,0.9996000000000806,0,Solve_Succeeded,True,0.00019999999995966845,0.00019999999995966853
5,0.0,0.0,0.0,0.0,0.9090909090909094,1.8181818181818183,10.0,1.0,5000.0,-500.0,0.0,0.2,0.2,0.0,2.0,0.8001999999005037,0.9999999999,0.0,1,Solve_Succeeded,True,0.8,1.0
6,0.0,0.0,0.0,0.0,0.9090909090909094,1.8181818181818183,10.0,1.0,5000.0,-500.0,0.0,0.4,0.4,0.0,2.0,0.60019999989996,0.9999999999010407,0.0,0,Solve_Succeeded,True,0.6,1.0
7,0.0,0.0,0.0,0.0,0.9090909090909094,1.8181818181818183,10.0,1.0,5000.0,-500.0,0.0,0.6,0.6,0.0,2.0,0.40019999989962113,0.9999999999,0.0,0,Solve_Succeeded,True,0.4,1.0
8,0.0,0.0,0.0,0.0,0.9090909090909094,1.8181818181818183,10.0,1.0,5000.0,-500.0,0.0,0.8,0.8,0.0,2.0,0.2001999998994762,0.9999999999,3.8087958834131454e-238,0,Solve_Succeeded,True,0.19999999999999996,1.0
9,0.0,0.0,0.0,0.0,0.9090909090909094,1.8181818181818183,10.0,1.0,5000.0,-500.0,0.0,1.0,1.0,0.0,2.0,0.00020004398158394556,0.9076069472852528,0.09259300853305201,1,Solve_Succeeded,True,4.4081654976324764e-08,0.9074069473852929
10,0.0,0.0,0.0,0.0,0.9090909090909094,2.727272727272727,10.0,1.0,5000.0,-500.0,0.0,0.2,0.2,0.0,2.0,0.8001999999157777,0.9999999999000001,0.0,0,Solve_Succeeded,True,0.8,1.0
11,0.0,0.0,0.0,0.0,0.9090909090909094,2.727272727272727,10.0,1.0,5000.0,-500.0,0.0,0.4,0.4,0.0,2.0,0.60019999989996,0.9999999999,0.0,0,Solve_Succeeded,True,0.6,1.0
12,0.0,0.0,0.0,0.0,0.9090909090909094,2.727272727272727,10.0,1.0,5000.0,-500.0,0.0,0.6,0.6,0.0,2.0,0.4001999998999599,0.9999999998999999,1.1102230246251565e-16,0,Solve_Succeeded,True,0.39999999999999997,0.9999999999999999
13,0.0,0.0,0.0,0.0,0.9090909090909094,2.727272727272727,10.0,1.0,5000.0,-500.0,0.0,0.8,0.8,0.0,2.0,0.20019999989876827,0.9999999999,0.0,0,Solve_Succeeded,True,0.19999999999999996,1.0
14,0.0,0.0,0.0,0.0,0.9090909090909094,2.727272727272727,10.0,1.0,5000.0,-500.0,0.0,1.0,1.0,0.0,2.0,0.0001999998995079666,0.9999999999,0.0,0,Solve_Succeeded,True,0.0,1.0
15,0.0,0.0,0.0,0.0,0.9090909090909094,3.6363636363636367,10.0,1.0,5000.0,-500.0,0.0,0.2,0.2,0.0,2.0,0.8001999999054061,0.9999999999000001,0.0,0,Solve_Succeeded,True,0.8,1.0
16,0.0,0.0,0.0,0.0,0.9090909090909094,3.6363636363636367,10.0,1.0,5000.0,-500.0,0.0,0.4,0.4,0.0,2.0,0.60019999989996,0.9999999999,0.0,0,Solve_Succeeded,True,0.6,1.0
17,0.0,0.0,0.0,0.0,0.9090909090909094,3.6363636363636367,10.0,1.0,5000.0,-500.0,0.0,0.6,0.6,0.0,2.0,0.4001999998999599,0.9999999998999999,1.1102230246251565e-16,0,Solve_Succeeded,True,0.39999999999999997,0.9999999999999999
18,0.0,0.0,0.0,0.0,0.9090909090909094,3.6363636363636367,10.0,1.0,5000.0,-500.0,0.0,0.8,0.8,0.0,2.0,0.20019999989876827,0.9999999999,0.0,0,Solve_Succeeded,True,0.19999999999999996,1.0
19,0.0,0.0,0.0,0.0,0.9090909090909094,3.6363636363636367,10.0,1.0,5000.0,-500.0,0.0,1.0,1.0,0.0,2.0,0.0001999998995079666,0.9999999999,0.0,0,Solve_Succeeded,True,0.0,1.0
20,0.0,0.0,0.0,0.0,0.9090909090909094,4.545454545454545,10.0,1.0,5000.0,-500.0,0.0,0.2,0.2,0.0,2.0,0.8001999999054061,0.9999999999000001,0.0,0,Solve_Succeeded,True,0.8,1.0
21,0.0,0.0,0.0,0.0,0.9090909090909094,4.545454545454545,10.0,1.0,5000.0,-500.0,0.0,0.4,0.4,0.0,2.0,0.60019999989996,0.9999999999,0.0,0,Solve_Succeeded,True,0.6,1.0
22,0.0,0.0,0.0,0.0,0.9090909090909094,4.545454545454545,10.0,1.0,5000.0,-500.0,0.0,0.6,0.6,0.0,2.0,0.4001999998999599,0.9999999998999999,1.1102230246251565e-16,0,Solve_Succeeded,True,0.39999999999999997,0.9999999999999999
23,0.0,0.0,0.0,0.0,0.9090909090909094,4.545454545454545,10.0,1.0,5000.0,-500.0,0.0,0.8,0.8,0.0,2.0,0.20019999989876827,0.9999999999,0.0,0,Solve_Succeeded,True,0.19999999999999996,1.0
24,0.0,0.0,0.0,0.0,0.9090909090909094,4.545454545454545,10.0,1.0,5000.0,-500.0,0.0,1.0,1.0,0.0,2.0,0.0001999998995079666,0.9999999999,0.0,0,Solve_Succeeded,True,0.0,1.0
25,0.0,0.0,0.0,0.0,0.9090909090909094,5.454545454545454,10.0,1.0,5000.0,-500.0,0.0,0.2,0.2,0.0,2.0,0.8001999999054061,0.9999999999000001,0.0,0,Solve_Succeeded,True,0.8,1.0
26,0.0,0.0,0.0,0.0,0.9090909090909094,5.454545454545454,10.0,1.0,5000.0,-500.0,0.0,0.4,0.4,0.0,2.0,0.60019999989996,0.9999999999,0.0,0,Solve_Succeeded,True,0.6,1.0
27,0.0,0.0,0.0,0.0,0.9090909090909094,5.454545454545454,10.0,1.0,5000.0,-500.0,0.0,0.6,0.6,0.0,2.0,0.4001999998999599,0.9999999998999999,1.1102230246251565e-16,0,Solve_Succeeded,True,0.39999999999999997,0.9999999999999999
28,0.0,0.0,0.0,0.0,0.9090909090909094,5.454545454545454,10.0,1.0,5000.0,-500.0,0.0,0.8,0.8,0.0,2.0,0.20019999989876827,0.9999999999,0.0,0,Solve_Succeeded,True,0.19999999999999996,1.0
29,0.0,0.0,0.0,0.0,0.9090909090909094,5.454545454545454,10.0,1.0,5000.0,-500.0,0.0,1.0,1.0,0.0,2.0,0.0001999998995079666,0.9999999999,0.0,0,Solve_Succeeded,True,0.0,1.0
30,0.0,0.0,0.0,0.0,0.9090909090909094,6.363636363636363,10.0,1.0,5000.0,-500.0,0.0,0.2,0.2,0.0,2.0,0.8001999999054061,0.9999999999000001,0.0,0,Solve_Succeeded,True,0.8,1.0
31,0.0,0.0,0.0,0.0,0.9090909090909094,6.363636363636363,10.0,1.0,5000.0,-500.0,0.0,0.4,0.4,0.0,2.0,0.60019999989996,0.9999999999,0.0,0,Solve_Succeeded,True,0.6,1.0
32,0.0,0.0,0.0,0.0,0.9090909090909094,6.363636363636363,10.0,1.0,5000.0,-500.0,0.0,0.6,0.6,0.0,2.0,0.4001999998999599,0.9999999998999999,1.1102230246251565e-16,0,Solve_Succeeded,True,0.39999999999999997,0.9999999999999999
33,0.0,0.0,0.0,0.0,0.9090909090909094,6.363636363636363,10.0,1.0,5000.0,-500.0,0.0,0.8,0.8,0.0,2.0,0.20019999989876827,0.9999999999,0.0,0,Solve_Succeeded,True,0.19999999999999996,1.0
34,0.0,0.0,0.0,0.0,0.9090909090909094,6.363636363636363,10.0,1.0,5000.0,-500.0,0.0,1.0,1.0,0.0,2.0,0.0001999998995079666,0.9999999999,0.0,0,Solve_Succeeded,True,0.0,1.0
35,0.0,0.0,0.0,0.0,0.9090909090909094,7.272727272727273,10.0,1.0,5000.0,-500.0,0.0,0.2,0.2,0.0,2.0,0.8001999999054061,0.9999999999000001,0.0,0,Solve_Succeeded,True,0.8,1.0
36,0.0,0.0,0.0,0.0,0.9090909090909094,7.272727272727273,10.0,1.0,5000.0,-500.0,0.0,0.4,0.4,0.0,2.0,0.60019999989996,0.9999999999,0.0,0,Solve_Succeeded,True,0.6,1.0
37,0.0,0.0,0.0,0.0,0.9090909090909094,7.272727272727273,10.0,1.0,5000.0,-500.0,0.0,0.6,0.6,0.0,2.0,0.4001999998999599,0.9999999998999999,1.1102230246251565e-16,0,Solve_Succeeded,True,0.39999999999999997,0.9999999999999999
38,0.0,0.0,0.0,0.0,0.9090909090909094,7.272727272727273,10.0,1.0,5000.0,-500.0,0.0,0.8,0.8,0.0,2.0,0.20019999989876827,0.9999999999,0.0,0,Solve_Succeeded,True,0.19999999999999996,1.0
39,0.0,0.0,0.0,0.0,0.9090909090909094,7.272727272727273,10.0,1.0,5000.0,-500.0,0.0,1.0,1.0,0.0,2.0,0.0001999998995079666,0.9999999999,0.0,0,Solve_Succeeded,True,0.0,1.0
40,0.0,0.0,0.0,0.0,0.9090909090909094,8.181818181818182,10.0,1.0,5000.0,-500.0,0.0,0.2,0.2,0.0,2.0,0.8001999999054061,0.9999999999000001,0.0,0,Solve_Succeeded,True,0.8,1.0
41,0.0,0.0,0.0,0.0,0.9090909090909094,8.181818181818182,10.0,1.0,5000.0,-500.0,0.0,0.4,0.4,0.0,2.0,0.60019999989996,0.9999999999,0.0,0,Solve_Succeeded,True,0.6,1.0
42,0.0,0.0,0.0,0.0,0.9090909090909094,8.181818181818182,10.0,1.0,5000.0,-500.0,0.0,0.6,0.6,0.0,2.0,0.4001999998999599,0.9999999998999999,1.1102230246251565e-16,0,Solve_Succeeded,True,0.39999999999999997,0.9999999999999999
43,0.0,0.0,0.0,0.0,0.9090909090909094,8.181818181818182,10.0,1.0,5000.0,-500.0,0.0,0.8,0.8,0.0,2.0,0.20019999989876827,0.9999999999,0.0,0,Solve_Succeeded,True,0.19999999999999996,1.0
44,0.0,0.0,0.0,0.0,0.9090909090909094,8.181818181818182,10.0,1.0,5000.0,-500.0,0.0,1.0,1.0,0.0,2.0,0.0001999998995079666,0.9999999999,0.0,0,Solve_Succeeded,True,0.0,1.0
45,0.0,0.0,0.0,0.0,0.9090909090909094,9.09090909090909,10.0,1.0,5000.0,-500.0,0.0,0.2,0.2,0.0,2.0,0.8001999999054061,0.9999999999000001,0.0,0,Solve_Succeeded,True,0.8,1.0
46,0.0,0.0,0.0,0.0,0.9090909090909094,9.09090909090909,10.0,1.0,5000.0,-500.0,0.0,0.4,0.4,0.0,2.0,0.60019999989996,0.9999999999,0.0,0,Solve_Succeeded,True,0.6,1.0
47,0.0,0.0,0.0,0.0,0.9090909090909094,9.09090909090909,10.0,1.0,5000.0,-500.0,0.0,0.6,0.6,0.0,2.0,0.4001999998999599,0.9999999998999999,1.1102230246251565e-16,0,Solve_Succeeded,True,0.39999999999999997,0.9999999999999999
48,0.0,0.0,0.0,0.0,0.9090909090909094,9.09090909090909,10.0,1.0,5000.0,-500.0,0.0,0.8,0.8,0.0,2.0,0.20019999989876827,0.9999999999,0.0,0,Solve_Succeeded,True,0.19999999999999996,1.0
49,0.0,0.0,0.0,0.0,0.9090909090909094,9.09090909090909,10.0,1.0,5000.0,-500.0,0.0,1.0,1.0,0.0,2.0,0.0001999998995079666,0.9999999999,0.0,0,Solve_Succeeded,True,0.0,1.0
50,0.0,0.0,0.0,0.0,1.8181818181818183,0.9090909090909094,10.0,1.0,5000.0,-500.0,0.0,0.2,0.2,0.0,2.0,0.9999999999002704,0.8001999999071071,0.0,0,Solve_Succeeded,True,1.0,0.8
51,0.0,0.0,0.0,0.0,1.8181818181818183,0.9090909090909094,10.0,1.0,5000.0,-500.0,0.0,0.4,0.4,0.0,2.0,0.9999999998999999,0.6001999998999599,1.1102230246251565e-16,0,Solve_Succeeded,True,0.9999999999999999,0.5999999999999999
52,0.0,0.0,0.0,0.0,1.8181818181818183,0.9090909090909094,10.0,1.0,5000.0,-500.0,0.0,0.6,0.6,0.0,2.0,0.9999999999,0.40019999989948823,0.0,0,Solve_Succeeded,True,1.0,0.4
53,0.0,0.0,0.0,0.0,1.8181818181818183,0.9090909090909094,10.0,1.0,5000.0,-500.0,0.0,0.8,0.8,0.0,2.0,0.9999999999,0.2001999998998605,3.8087958760934475e-238,0,Solve_Succeeded,True,1.0,0.19999999999999996
54,0.0,0.0,0.0,0.0,1.8181818181818183,0.9090909090909094,10.0,1.0,5000.0,-500.0,0.0,1.0,1.0,0.0,2.0,0.9076069472848309,0.00020004398116180624,0.09259300853347412,0,Solve_Succeeded,True,0.9074069473848709,4.408165488335121e-08
55,0.0,0.0,0.0,0.0,1.8181818181818183,1.8181818181818183,10.0,1.0,5000.0,-500.0,0.0,0.2,0.2,0.0,2.0,0.0019999998966361864,0.0019999998966361877,0.9980000000033639,0,Solve_Succeeded,True,0.0017999999969725683,0.0017999999969725686
56,0.0,0.0,0.0,0.0,1.8181818181818183,1.8181818181818183,10.0,1.0,5000.0,-500.0,0.0,0.4,0.4,0.0,2.0,0.0009999998992364435,0.0009999998992364435,0.9990000000007636,0,Solve_Succeeded,True,0.0007999999993891548,0.0007999999993891548
57,0.0,0.0,0.0,0.0,1.8181818181818183,1.8181818181818183,10.0,1.0,5000.0,-500.0,0.0,0.6,0.6,0.0,2.0,0.0006666665663802895,0.0006666665663802895,0.9993333333336197,0,Solve_Succeeded,True,0.00046666666646620267,0.00046666666646620267
58,0.0,0.0,0.0,0.0,1.8181818181818183,1.8181818181818183,10.0,1.0,5000.0,-500.0,0.0,0.8,0.8,0.0,2.0,0.0004999998998282792,0.0004999998998282792,0.9995000000001717,0,Solve_Succeeded,True,0.0002999999998969675,0.0002999999998969675
59,0.0,0.0,0.0,0.0,1.8181818181818183,1.8181818181818183,10.0,1.0,5000.0,-500.0,0.0,1.0,1.0,0.0,2.0,0.0003999998997550479,0.00039999989975505345,0.999600000000245,0,Solve_Succeeded,True,0.00019999999987752395,0.00019999999987752672
60,0.0,0.0,0.0,0.0,1.8181818181818183,2.727272727272727,10.0,1.0,5000.0,-500.0,0.0,0.2,0.2,0.0,2.0,0.8001999998999612,0.9999999998999999,1.1102230246251565e-16,0,Solve_Succeeded,True,0.7999999999999999,0.9999999999999999
61,0.0,0.0,0.0,0.0,1.8181818181818183,2.727272727272727,10.0,1.0,5000.0,-500.0,0.0,0.4,0.4,0.0,2.0,0.60019999989996,0.9999999999,0.0,0,Solve_Succeeded,True,0.6,1.0
62,0.0,0.0,0.0,0.0,1.8181818181818183,2.727272727272727,10.0,1.0,5000.0,-500.0,0.0,0.6,0.6,0.0,2.0,0.40019999989995964,0.9999999999000001,0.0,0,Solve_Succeeded,True,0.4,1.0
63,0.0,0.0,0.0,0.0,1.8181818181818183,2.727272727272727,10.0,1.0,5000.0,-500.0,0.0,0.8,0.8,0.0,2.0,0.20019999989989662,0.9999999999,3.808795875408253e-238,0,Solve_Succeeded,True,0.19999999999999996,1.0
64,0.0,0.0,0.0,0.0,1.8181818181818183,2.727272727272727,10.0,1.0,5000.0,-500.0,0.0,1.0,1.0,0.0,2.0,0.0002000439815640507,0.907606947285233,0.09259300853307188,0,Solve_Succeeded,True,4.408165497194074e-08,0.907406947385273
65,0.0,0.0,0.0,0.0,1.8181818181818183,3.6363636363636367,10.0,1.0,5000.0,-500.0,0.0,0.2,0.2,0.0,2.0,0.8001999999027478,0.9999999999,0.0,0,Solve_Succeeded,True,0.8,1.0
66,0.0,0.0,0.0,0.0,1.8181818181818183,3.6363636363636367,10.0,1.0,5000.0,-500.0,0.0,0.4,0.4,0.0,2.0,0.6001999999005057,0.9999999999000001,0.0,0,Solve_Succeeded,True,0.6,1.0
67,0.0,0.0,0.0,0.0,1.8181818181818183,3.6363636363636367,10.0,1.0,5000.0,-500.0,0.0,0.6,0.6,0.0,2.0,0.40019999989995964,0.9999999999000001,0.0,0,Solve_Succeeded,True,0.4,1.0
